name,destination,seller,price_in_eur,weight,Strain,Type,Rating_weed,Effects,Flavor,Description,weed,hash,source,origin,items_sold,Rating_seller
12g OUTDOOR SATIVA,Worldwide,revenantchild,77.35000000000001,12.0g,doox,sativa,4.4,"Uplifted,Energetic,Happy,Focused,Tingly","Sweet,Citrus,Lime","Doox is a sativa-dominant hybrid strain bred from Purple Cow and the legendary hybrid Chemdawg. The effects will set in quickly, delivering an intense body buzz coupled with dreamy euphoria. Doox flowers typically bloom in pale pastel greens masked by a dense coat of frosty resin. Pungent and skunky, this strain is sure to fill the room with its strong sour aroma. ",1,0,Elysium,,,
Cali Zereal Import from USA Dispensary 3.5-28g,Worldwide,NextGeneration,21.84,3.5g,romulan,indica,4.2,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Earthy,Sweet,Pine","Romulan, named after the alien Star Trek race, is a powerful indica revered for its potent therapeutic qualities. Though mostly indica, Romulan growers insist sativa genetics have crept in over time, lending it intense cerebral effects. These squat, pine-scented plants produce dense frosty buds that have found their following among connoisseurs in British Columbia and the Pacific Northwest. A deep, sedating relaxation makes Romulan a favorite strain for patients treating muscle spasms and nerve damage. Many hybridized variations of Romulan exist, but nearly all can promise a full body calm with heavily intoxicating properties.",1,0,Elysium,,,
Cali White Truffle Import from USA Dispensary 3.5-28g,Worldwide,NextGeneration,21.84,3.5g,whiteout,hybrid,4.6,"Happy,Focused,Euphoric,Uplifted,Creative","Sweet,Citrus,Orange","Parent strains Super Silver Haze and The White were brought together to create this uplifting hybrid strain. Whiteout delivers intense euphoria paired with an alert, focused effect sure to satisfy your daytime needs. These frosty light green buds shimmer in light and will hit you with a pungenst zesty lemon aroma that would be expected of a Super Silver Haze offspring.",1,0,Elysium,,,
Cali MAC 1 Import from USA Dispensary 3.5-28g,Worldwide,NextGeneration,21.84,3.5g,romulan,indica,4.2,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Earthy,Sweet,Pine","Romulan, named after the alien Star Trek race, is a powerful indica revered for its potent therapeutic qualities. Though mostly indica, Romulan growers insist sativa genetics have crept in over time, lending it intense cerebral effects. These squat, pine-scented plants produce dense frosty buds that have found their following among connoisseurs in British Columbia and the Pacific Northwest. A deep, sedating relaxation makes Romulan a favorite strain for patients treating muscle spasms and nerve damage. Many hybridized variations of Romulan exist, but nearly all can promise a full body calm with heavily intoxicating properties.",1,0,Elysium,,,
7 Grams California Top Tier Import Gelato Runtz 10/10,Worldwide,PharmaPlug,110.9654,7.0g,california-sour,hybrid,3.6,"Focused,Relaxed,Euphoric,Energetic,Uplifted","Lemon,Diesel,Citrus",California Sour is an elusive hybrid strain that has given rise to many flavorful cannabis varieties such as Lemon Diesel and Sour Lemon OG. This hybrid balances the genetics of a Mexican sativa and an Afghani indica.,1,0,Elysium,,,
2 Grams California Top Tier Import Gelato Runtz 10/10,Worldwide,PharmaPlug,35.0623,2.0g,california-sour,hybrid,3.6,"Focused,Relaxed,Euphoric,Energetic,Uplifted","Lemon,Diesel,Citrus",California Sour is an elusive hybrid strain that has given rise to many flavorful cannabis varieties such as Lemon Diesel and Sour Lemon OG. This hybrid balances the genetics of a Mexican sativa and an Afghani indica.,1,0,Elysium,,,
3.5 Grams California Top Tier Import Gelato Runtz 10/10,Worldwide,PharmaPlug,58.3674,3.5g,california-sour,hybrid,3.6,"Focused,Relaxed,Euphoric,Energetic,Uplifted","Lemon,Diesel,Citrus",California Sour is an elusive hybrid strain that has given rise to many flavorful cannabis varieties such as Lemon Diesel and Sour Lemon OG. This hybrid balances the genetics of a Mexican sativa and an Afghani indica.,1,0,Elysium,,,
2 Grams California Top Tier Import Lemon Cherry Gelato 1-2DD,Worldwide,PharmaPlug,35.0623,1g,cherry-og,hybrid,4.2,"Euphoric,Relaxed,Happy,Uplifted,Hungry","Berry,Diesel,Sweet","Cherry OG by Emerald Triangle Seeds is a hybrid cannabis strain bred by combining Cherry Thai, Afghani, and Lost Coast OG genetics. A 50/50 hybrid, Cherry OG truly brings you the best of both sativa and indica worlds as it delivers full-body euphoria alongside high-flying cerebral lucidity. While its name sets expectations of a fruity cherry aroma, this strain can sometimes express more sour and diesel-like flavors. ",1,0,Elysium,,,
1 Grams California Top Tier Import Gelato Runtz 10/10,Worldwide,PharmaPlug,23.3779,1.0g,california-sour,hybrid,3.6,"Focused,Relaxed,Euphoric,Energetic,Uplifted","Lemon,Diesel,Citrus",California Sour is an elusive hybrid strain that has given rise to many flavorful cannabis varieties such as Lemon Diesel and Sour Lemon OG. This hybrid balances the genetics of a Mexican sativa and an Afghani indica.,1,0,Elysium,,,
14Grams California Top Tier Import Lemon Cherry Gelato 1-2DD,Worldwide,PharmaPlug,198.4801,1g,cherry-og,hybrid,4.2,"Euphoric,Relaxed,Happy,Uplifted,Hungry","Berry,Diesel,Sweet","Cherry OG by Emerald Triangle Seeds is a hybrid cannabis strain bred by combining Cherry Thai, Afghani, and Lost Coast OG genetics. A 50/50 hybrid, Cherry OG truly brings you the best of both sativa and indica worlds as it delivers full-body euphoria alongside high-flying cerebral lucidity. While its name sets expectations of a fruity cherry aroma, this strain can sometimes express more sour and diesel-like flavors. ",1,0,Elysium,,,
